time,x,z,action,interactions,target_obj
1687519266.083619,0.6028522849082947,2.1019999980926514,sitting,reading,book
1687519266.2919235,0.6753253638744354,2.2405000925064087,sitting,reading,book
1687519266.4992256,0.7524865468343099,2.576333522796631,sitting,"holding,drinking","book,bottle"
1687519266.7072172,0.7373019258181254,2.766000191370646,sitting,"holding,drinking","book,bottle"
1687519266.914742,0.7022672891616821,2.922666867574056,walking,"reading,drinking","book,bottle"
1687519267.124541,0.6379455725351969,3.028666893641154,walking,"reading,drinking","book,bottle"
1687519267.3319347,0.6057960689067841,3.069000244140625,walking,"reading,drinking","book,bottle"
1687519267.5395586,0.5300890207290649,3.2515002489089966,walking,"reading,drinking","book,bottle"
1687519267.7463818,0.45758096873760223,3.403500199317932,walking,reading,book
1687519267.9524891,0.40777960419654846,3.5515002012252808,walking,reading,book
1687519268.160759,0.24043121933937073,3.6545002460479736,walking,reading,book
1687519268.3679044,0.008449472486972809,3.6895002126693726,walking,reading,book
1687519268.5735996,-0.04728671411673228,3.7706668376922607,walking,reading,book
1687519268.7811978,-0.11842509359121323,3.8320001363754272,walking,reading,book
1687519268.9886549,-0.15875908732414246,3.933000087738037,walking,reading,book
1687519272.0845103,-0.19371597468852997,4.799000263214111,walking,reading,book
1687519272.2929776,-0.18371576070785522,4.73900032043457,walking,holding,book
1687519272.5020397,-0.1594566603501638,4.689333597819011,walking,reading,book
1687519272.7096388,-0.1261894777417183,4.585333506266276,walking,reading,book
1687519272.916634,-0.08222921565175056,4.479333400726318,walking,reading,book
1687519273.1237524,-0.030715578546126682,4.217333396275838,walking,reading,book
1687519273.330204,0.07207300638159116,4.056000153223674,walking,reading,book
1687519273.5374856,0.21814513206481934,3.9380001227060952,walking,reading,book
1687519273.7455761,0.3054164722561836,4.005000114440918,walking,reading,book
1687519273.9524164,0.47598642110824585,3.9290000200271606,walking,reading,book
1687519274.1589882,0.6299229264259338,3.782500147819519,walking,reading,book
1687519274.364776,0.7042546272277832,3.7140002250671387,walking,reading,book
1687519277.2493205,0.5392329096794128,2.5400002002716064,walking,reading,book
1687519277.4580436,0.5392329096794128,2.5400002002716064,walking,reading,book
1687519277.667714,0.47406698763370514,2.6560001373291016,walking,reading,book
1687519277.8742852,0.31737303733825684,2.867000102996826,walking,reading,book
1687519278.0801575,0.22584500908851624,2.9620001316070557,walking,reading,book
1687519278.287889,-0.34375086426734924,3.6020002365112305,walking,reading,book
1687519278.4951582,-0.4009428024291992,3.391500234603882,walking,reading,book
1687519278.703466,-0.4009428024291992,3.391500234603882,walking,reading,book
1687519278.9102356,-0.4581347405910492,3.181000232696533,walking,reading,book
1687519280.1435525,-0.6845439672470093,4.067000389099121,walking,reading,book
1687519280.3509803,-0.6845439672470093,4.067000389099121,walking,reading,book
1687519280.5579815,-0.6845439672470093,4.067000389099121,walking,reading,book
1687519280.7646208,-0.6250948905944824,4.2920002937316895,walking,reading,book
1687519280.970982,-0.6250948905944824,4.2920002937316895,walking,reading,book
1687519281.1801777,-0.5592915713787079,4.215500116348267,walking,"reading,drinking","book,bottle"
1687519281.387329,-0.5505390961964926,4.200333436330159,walking,"reading,drinking","book,bottle"
1687519281.5957413,-0.5300154685974121,4.1803334554036455,walking,"reading,drinking","book,bottle"
1687519281.8044589,-0.5082734028498331,4.151333491007487,walking,"reading,drinking","book,bottle"
1687519282.0134716,-0.4909523328145345,4.157333532969157,walking,"reading,drinking","book,bottle"
1687519282.2207475,-0.4909810821215312,4.195333639780681,walking,"reading,drinking","book,bottle"
1687519282.4277503,-0.49943039814631146,4.228000322977702,walking,"reading,drinking","book,bottle"
1687519282.6357234,-0.5202224254608154,4.2860002517700195,walking,"reading,drinking","book,bottle"
1687519282.8416817,-0.5468531052271525,4.34933344523112,walking,"reading,drinking","book,bottle"
1687519283.0468233,-0.5787948568662008,4.414666811625163,walking,"reading,drinking","book,bottle"
1687519283.252465,-0.6245006521542867,4.468000253041585,walking,"reading,drinking","book,bottle"
1687519283.4613488,-0.6461794376373291,4.485000371932983,walking,"reading,drinking","book,bottle"
1687519283.6693108,-0.7394469678401947,4.443500280380249,walking,reading,book
1687519283.8743227,-0.7983295321464539,4.365000247955322,walking,reading,book
1687519285.1074169,-0.6873132586479187,3.758000135421753,sitting,"reading,drinking","book,bottle"
1687519285.3147082,-0.6873132586479187,3.758000135421753,sitting,"reading,drinking","book,bottle"
1687519285.5237758,-0.6149464845657349,3.5510001182556152,walking,reading,book
1687519285.7312765,-0.6149464845657349,3.5510001182556152,walking,reading,book
1687519286.1470156,-0.1151449903845787,3.757000207901001,walking,reading,book
1687519286.3556454,0.2807145044207573,4.010000308354695,walking,reading,book
1687519286.5775125,0.6014950672785441,4.0390002727508545,walking,reading,book
1687519286.826624,0.7299153506755829,3.8905001878738403,walking,reading,book
